Jahr;Monat;Monat_Jahr;Q_KW_MHF;Q_KW_RUH_Spree;Q_KW_RUH_TeK;Q_KW_RUH_ges;Q_KW_STA;Q_KW_WAS;Q_KW_Wan;Q_SCH;Q_WW_BEE;Q_WW_FRI;Q_WW_KLA;Q_WW_SPA;Q_WW_STO;Q_WW_TEG;Q_WW_TIE;Q_WW_WUH;Q_WW_KAU
2011;11;Nov 11;0.41;2.30;0;2.30;0.59;2.12;0.3;1.18;1.24;1.53;0.21;0.51;0.7;1.46;0.24;0.18;0.21
2011;12;Dez 11;0.46;3;0;3;0.62;2.40;0.34;1.39;1.1;1.52;0.20;0.55;0.7;1.3;0.30;0.2;0.21
2012;1;Jan 12;0;2.81;0;2.81;0.63;2.37;0.45;1.38;1.05;1.56;0.18;0.64;0.56;1.35;0.39;0.25;0.20
2012;2;Feb 12;0.44;2.67;0;2.67;0.54;2.32;0.44;1.33;1.06;1.60;0.17;0.64;0.67;1.40;0.40;0.25;0.19
2012;3;Mrz 12;0.41;2.44;0.07;2.51;0.61;2.10;0.45;1.22;1.08;1.56;0.1;0.67;0.62;1.56;0.39;0.25;0.20
2012;4;Apr 12;0.4;0.81;1.81;2.62;0.60;2;0.43;1.21;1.18;1.6;0.18;0.5;0.72;1.66;0.43;0.25;0.19
2012;5;Mai 12;0.37;0.81;1.84;2.65;0.61;2.10;0.46;1.1;1.30;1.8;0.21;0.54;0.75;1.74;0.44;0.26;0.20
2012;6;Jun 12;0.38;0.96;1.85;3;0.60;2.26;0.45;1.26;1.16;1.67;0.15;0.70;0.71;1.45;0.42;0.26;0.19
2012;7;Jul 12;0.40;0.90;1.9;2.82;0.60;2.51;0.47;1.44;1.10;1.59;0.14;0.62;0.7;1.4;0.41;0.23;0.14
2012;8;Aug 12;0.38;0.90;2;2.60;0.58;2.29;0.39;1.3;1.15;1.8;0.18;0.58;0.8;1.56;0.41;0.2;0.18
2012;9;Sep 12;0.37;0.82;1.61;2.42;0.57;2.21;0.34;1.20;1.06;1.64;0.17;0.62;1;1.35;0.40;0.24;0.18
2012;10;Okt 12;0.38;2.43;0.00;2.44;0.58;2.20;0.42;1.17;1.05;1.53;0.15;0.58;0.73;1.40;0.39;0.20;0.20
2012;11;Nov 12;0.38;2.52;0.12;2.64;0.59;2.23;0.38;1.3;1.07;1.49;0.17;0.66;0.51;1.65;0;0.14;0.21
2012;12;Dez 12;0.38;2.44;0.13;2.57;0.58;2.21;0.44;1.30;1.06;1.6;0.15;0.70;0.45;1.44;0.41;0.22;0.2
2013;1;Jan 13;0.39;2.83;0;2.83;0.48;2.41;0.47;1.40;0.9;1.49;0.14;0.75;0.64;1.33;0.5;0.22;0.21
2013;2;Feb 13;0.40;2.76;0.03;2.79;0.44;2.32;0.4;1.33;0.87;1.62;0.15;0.78;0.49;1.50;0.39;0.23;0.19
2013;3;Mrz 13;0.49;2.56;0.05;2.60;0.43;2.17;0.44;1.24;0.92;1.54;0.16;0.78;0.63;1.5;0.40;0.25;0.21
2013;4;Apr 13;0.4;0.84;1.81;2.65;0.55;2.15;0.41;1.28;1.17;1.63;0.15;0.75;0.68;1.47;0.40;0.25;0.14
2013;5;Mai 13;0.4;0.94;1.9;2.81;0.60;2.3;0.46;1.31;1.17;1.51;0.18;0.74;0.81;1.46;0.40;0.24;0.18
